epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2189,1.86165,4.13498,0.00424,0,0,0,0,1.49673,4.48811,0.00442,0.000360838,0.000360838,0.000360838
2,101.272,1.82067,1.82449,0.0041,0.72779,0.59267,0.72201,0.4054,1.6123,1.94538,0.00529,0.000723932,0.000723932,0.000723932
3,123.458,1.77242,1.30554,0.00398,0.68531,0.70279,0.7432,0.3725,1.60265,1.24241,0.00493,0.00107969,0.00107969,0.00107969
4,147.993,1.69165,1.21715,0.00387,0.73246,0.72085,0.78105,0.4076,1.50817,1.14787,0.00473,0.001078,0.001078,0.001078
5,171.314,1.63207,1.11977,0.00386,0.76892,0.77504,0.84164,0.47229,1.50031,1.0684,0.00476,0.001067,0.001067,0.001067
6,201.53,1.63369,1.0572,0.00372,0.79774,0.77176,0.85411,0.4792,1.4382,1.00023,0.00466,0.00105601,0.00105601,0.00105601
7,225.369,1.63055,0.98191,0.00391,0.80005,0.79639,0.87882,0.48892,1.51783,0.90726,0.00501,0.00104501,0.00104501,0.00104501
8,255.812,1.62617,0.92106,0.00375,0.81173,0.82923,0.88524,0.50957,1.4304,0.87018,0.0047,0.00103401,0.00103401,0.00103401
9,280.259,1.5765,0.86579,0.00369,0.82359,0.82795,0.89431,0.52278,1.4368,0.83232,0.00465,0.00102301,0.00102301,0.00102301
10,303.857,1.5763,0.84662,0.00356,0.87364,0.82102,0.9148,0.55086,1.40571,0.80874,0.00456,0.00101201,0.00101201,0.00101201
11,329.15,1.5695,0.81244,0.00367,0.87496,0.867,0.92665,0.56122,1.41103,0.76198,0.00458,0.00100101,0.00100101,0.00100101
12,347.392,1.58312,0.79205,0.00359,0.86616,0.84565,0.92555,0.55997,1.3958,0.78389,0.00451,0.000990012,0.000990012,0.000990012
13,363.034,1.54393,0.77111,0.00349,0.88899,0.82759,0.92488,0.56264,1.40683,0.73134,0.00457,0.000979013,0.000979013,0.000979013
14,388.378,1.54107,0.7616,0.0034,0.89018,0.84236,0.92866,0.57323,1.38247,0.71671,0.00447,0.000968014,0.000968014,0.000968014
15,414.897,1.51527,0.74287,0.00355,0.89679,0.87029,0.94511,0.57406,1.38508,0.68428,0.00448,0.000957015,0.000957015,0.000957015
16,438.049,1.50226,0.71371,0.00331,0.89723,0.87849,0.94144,0.57694,1.39515,0.67839,0.0045,0.000946016,0.000946016,0.000946016
17,463.597,1.52886,0.72605,0.00327,0.90479,0.86864,0.93968,0.57945,1.38057,0.66639,0.00449,0.000935018,0.000935018,0.000935018
18,492.801,1.51652,0.71317,0.00332,0.88086,0.8867,0.94055,0.57045,1.41742,0.71479,0.00469,0.000924019,0.000924019,0.000924019
19,523.391,1.51608,0.72051,0.00338,0.92623,0.86595,0.94969,0.57545,1.41535,0.68363,0.00452,0.00091302,0.00091302,0.00091302
20,556.503,1.45326,0.6868,0.00331,0.90887,0.88439,0.95043,0.5814,1.40102,0.66918,0.00445,0.000902021,0.000902021,0.000902021
21,590.94,1.49196,0.67342,0.00337,0.89059,0.87521,0.94117,0.57988,1.37714,0.67436,0.0044,0.000891022,0.000891022,0.000891022
22,620.059,1.48922,0.67029,0.00327,0.89796,0.87849,0.94711,0.59681,1.36306,0.62069,0.00447,0.000880023,0.000880023,0.000880023
23,648.428,1.46293,0.67071,0.00337,0.92397,0.87192,0.94891,0.59297,1.3933,0.61112,0.00455,0.000869024,0.000869024,0.000869024
24,671.501,1.47725,0.66141,0.00331,0.89922,0.89373,0.94807,0.59955,1.32801,0.67705,0.00437,0.000858025,0.000858025,0.000858025
25,697.412,1.47574,0.6554,0.00334,0.93394,0.87356,0.94733,0.60432,1.36659,0.60377,0.00439,0.000847026,0.000847026,0.000847026
26,724.402,1.43391,0.61831,0.00331,0.92923,0.89327,0.9528,0.60785,1.34814,0.59774,0.00435,0.000836027,0.000836027,0.000836027
27,750.254,1.44854,0.63625,0.00326,0.90612,0.88749,0.95,0.59509,1.37499,0.59411,0.00448,0.000825029,0.000825029,0.000825029
28,775.542,1.44041,0.61404,0.00331,0.92037,0.89198,0.95291,0.59314,1.39816,0.63265,0.00452,0.00081403,0.00081403,0.00081403
29,800.11,1.45262,0.62444,0.00318,0.9089,0.88467,0.95013,0.61025,1.32174,0.59091,0.00428,0.000803031,0.000803031,0.000803031
30,824.075,1.41377,0.60613,0.00324,0.92312,0.90697,0.95331,0.61471,1.31362,0.58519,0.00422,0.000792032,0.000792032,0.000792032
31,845.535,1.41035,0.61107,0.00323,0.92192,0.89191,0.95728,0.60385,1.33336,0.60122,0.00429,0.000781033,0.000781033,0.000781033
32,870.61,1.40365,0.59662,0.00323,0.91561,0.91297,0.95603,0.62381,1.28934,0.57617,0.00419,0.000770034,0.000770034,0.000770034
33,892.572,1.39654,0.59407,0.00305,0.92767,0.88506,0.95399,0.62836,1.28643,0.56521,0.00417,0.000759035,0.000759035,0.000759035
34,917.38,1.39073,0.58786,0.00305,0.95043,0.87192,0.95633,0.61602,1.32641,0.57575,0.00434,0.000748036,0.000748036,0.000748036
35,940.383,1.39577,0.57629,0.00306,0.91912,0.89564,0.95855,0.62343,1.3124,0.55292,0.00429,0.000737037,0.000737037,0.000737037
36,965.069,1.39217,0.57066,0.00306,0.92865,0.90148,0.96281,0.61641,1.3436,0.54014,0.00432,0.000726038,0.000726038,0.000726038
37,991.976,1.37877,0.56998,0.00324,0.94675,0.88998,0.96107,0.62524,1.32516,0.54843,0.00424,0.00071504,0.00071504,0.00071504
38,1014.39,1.37164,0.57099,0.00316,0.9358,0.88564,0.96218,0.62142,1.31369,0.55036,0.00426,0.000704041,0.000704041,0.000704041
39,1037.79,1.3937,0.55993,0.00314,0.90962,0.89984,0.95376,0.61639,1.34526,0.56281,0.00441,0.000693042,0.000693042,0.000693042
40,1064.3,1.39263,0.55877,0.00321,0.91163,0.89779,0.95502,0.63187,1.30289,0.53997,0.00425,0.000682043,0.000682043,0.000682043
