epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7044,0.80054,0.49795,0.84417,0.85147,0.8461,0.89128,0.67366,0.43239,0.74565,0.51721,0.000368253,0.000368253,0.000368253
2,102.586,0.84171,0.55305,0.85697,0.90363,0.79358,0.88756,0.64982,0.48455,0.46964,0.52558,0.000731274,0.000731274,0.000731274
3,148.672,0.89376,0.56802,0.86233,0.89102,0.79733,0.87549,0.60522,0.48423,0.54311,0.52499,0.00108696,0.00108696,0.00108696
4,192.452,0.89618,0.58921,0.86269,0.88757,0.8107,0.88144,0.62644,0.51554,0.47885,0.53652,0.001078,0.001078,0.001078
5,238.39,0.91307,0.62298,0.8685,0.77903,0.82117,0.8619,0.59531,0.51822,2.30133,0.5372,0.001067,0.001067,0.001067
6,278.652,0.92347,0.63197,0.87594,0.86074,0.79671,0.85993,0.61438,0.51846,0.77764,0.53527,0.00105601,0.00105601,0.00105601
7,313.404,0.91959,0.61086,0.86285,0.86356,0.772,0.85577,0.572,0.53832,0.99431,0.53858,0.00104501,0.00104501,0.00104501
8,346.755,0.91456,0.61688,0.86437,0.83451,0.81956,0.8731,0.63548,0.50461,0.55366,0.53831,0.00103401,0.00103401,0.00103401
9,384.687,0.91098,0.59082,0.86982,0.87152,0.77918,0.87249,0.60071,0.5381,0.65553,0.53647,0.00102301,0.00102301,0.00102301
10,419.462,0.89692,0.59237,0.86823,0.86743,0.80956,0.88157,0.6271,0.54003,0.45031,0.54167,0.00101201,0.00101201,0.00101201
11,456.315,0.90492,0.60063,0.87062,0.84264,0.81671,0.86753,0.62359,0.47783,0.50789,0.53221,0.00100101,0.00100101,0.00100101
12,490.855,0.92398,0.61066,0.87931,0.8731,0.77705,0.86936,0.62598,0.50588,0.87614,0.53259,0.000990012,0.000990012,0.000990012
13,525.382,0.91525,0.5977,0.87085,0.87795,0.77186,0.86821,0.60794,0.51115,0.587,0.53378,0.000979013,0.000979013,0.000979013
14,559.936,0.91419,0.59041,0.87004,0.84503,0.84558,0.87906,0.6359,0.50516,0.56043,0.53322,0.000968014,0.000968014,0.000968014
15,594.391,0.90435,0.5952,0.86219,0.86775,0.84046,0.8885,0.62879,0.49051,0.50531,0.52393,0.000957015,0.000957015,0.000957015
16,631.479,0.88776,0.58077,0.86791,0.89494,0.7596,0.87112,0.63261,0.51925,0.46089,0.53961,0.000946016,0.000946016,0.000946016
17,666.804,0.88382,0.56892,0.8618,0.88862,0.79471,0.88592,0.64171,0.49902,0.42514,0.52839,0.000935018,0.000935018,0.000935018
18,703.43,0.88439,0.57085,0.86263,0.89517,0.78922,0.89451,0.63263,0.50597,0.57381,0.5329,0.000924019,0.000924019,0.000924019
19,740.508,0.88265,0.57086,0.86347,0.88784,0.8524,0.90649,0.65537,0.48609,0.46794,0.5318,0.00091302,0.00091302,0.00091302
20,788.335,0.89915,0.58303,0.86952,0.83993,0.8506,0.8981,0.64183,0.48263,0.44113,0.53006,0.000902021,0.000902021,0.000902021
21,848.661,0.85874,0.55238,0.85434,0.89461,0.83325,0.89175,0.64111,0.50115,0.53768,0.53333,0.000891022,0.000891022,0.000891022
22,906.099,0.87285,0.55989,0.85844,0.87823,0.83347,0.89699,0.65893,0.46114,0.48765,0.52448,0.000880023,0.000880023,0.000880023
23,964.13,0.88258,0.54221,0.86155,0.87742,0.82315,0.89235,0.64876,0.4666,0.37894,0.52723,0.000869024,0.000869024,0.000869024
24,1027.46,0.88614,0.56329,0.86497,0.83239,0.8534,0.86917,0.62571,0.46345,0.51516,0.53162,0.000858025,0.000858025,0.000858025
25,1088.69,0.86974,0.57092,0.86716,0.87378,0.81127,0.88499,0.63758,0.50577,0.56921,0.52951,0.000847026,0.000847026,0.000847026
26,1151.52,0.8566,0.55111,0.85899,0.9179,0.76946,0.87388,0.64848,0.46654,0.68267,0.52719,0.000836027,0.000836027,0.000836027
27,1206.42,0.86864,0.55086,0.86592,0.87343,0.84613,0.88233,0.63798,0.48075,0.76167,0.52699,0.000825029,0.000825029,0.000825029
28,1268.46,0.86724,0.5573,0.8605,0.86571,0.84302,0.87668,0.63621,0.48329,0.40607,0.5299,0.00081403,0.00081403,0.00081403
29,1334.04,0.85066,0.55091,0.85567,0.84833,0.85759,0.89809,0.67836,0.46205,0.51702,0.52258,0.000803031,0.000803031,0.000803031
30,1406.64,0.86078,0.54366,0.85792,0.85651,0.83749,0.89177,0.66487,0.44685,0.45823,0.52073,0.000792032,0.000792032,0.000792032
31,1470.47,0.85045,0.532,0.85922,0.87029,0.82427,0.88728,0.66084,0.4538,0.41415,0.52332,0.000781033,0.000781033,0.000781033
32,1539.66,0.85311,0.55332,0.86256,0.88478,0.76734,0.88189,0.65082,0.45875,0.38333,0.5193,0.000770034,0.000770034,0.000770034
